Global Rank	,Company	,Sales ($billion)	,Profits ($billion)	,Assets ($billion)	,Market Value ($billion)
40,Commonwealth Bank,47.8,7.3,735.2,117.5
44,BHP Billiton,72.2,15.4,129.3,184.7
48,Westpac Banking Group,43.9,6.2,699.6,98.9
58,National Australian Bank,49.2,4.2,791.3,76.3
66,ANZ,37.5,5.9,666.9,81.2
168,Wesfarmers,59,2.2,42.9,51.9
200,Telstra,25.8,3.5,40.5,58.4
271,Woolworths,56.4,1.9,21.5,46.3
373,AMP,17.2,0.7,122.1,16
393,Suncorp Group,15.6,0.7,98.3,15.9
411,QBE Insurance Group,17,0.8,50.8,17
445,Macquarie Group,11.4,0.8,157.8,13.5
483,Woodside Petroleum,6.4,3,23.9,31.9
494,Origin Energy,13.2,1,28.7,14.9
630,Westfield Group,2.5,1.8,35.3,25.4
703,Fortescue Metals Group,7,1.6,14.9,13.2
744,Newcrest Mining,4.5,1.1,20.8,17.5
875,Amcor,12.5,0.4,11.5,11.9
952,Insurance Australia Group,9.2,0.2,25.4,12.4
956,CSL,4.5,1,5.8,32
1014,Santos,3.4,0.5,17.7,13.1
1016,Land Lease Group,11.9,0.5,12.6,5.8
1067,Westfield Retail Trust,0.5,0.9,13.8,9.8
1116,Brambles,5.6,0.6,7.7,14.1
1219,Stockland Australia,2.1,0.5,14.9,8.8
1242,AGL Energy,7.6,0.1,14.5,9.5
1249,Coca-Cola Amatil,5.3,0.5,7,12.1
1254,Qantas Airways,16.1,-0.3,21.7,4.1
1256,Orica,6.9,0.4,7.7,9.6
1399,Caltex Australia,24.2,0.1,5,6.2
1413,Aurizon Holdings,3.6,0.5,10.3,9
1460,GPT Group,0.7,0.6,9.7,6
1468,WorleyParsons,7.6,0.4,4.4,6.6
1487,Crown Ltd,2.8,0.5,5.9,9.4
1592,Goodman Group,0.7,0.4,8.4,8.9
1639,Bendigo & Adelaide Bank,3.8,0.2,58.5,4.4
1751,Bank of Queensland,2.8,0,43,3.1
1819,Incitec Pivot,3.6,0.5,7.3,5.7
1833,CFS Retail Property,0.8,0.4,8.6,6
1863,Mirvac Group,1.6,0.4,8.3,6.1
1866,Transurban Group,1.2,0.1,10.1,9.5
1918,Metcash,12.8,0.1,4.1,3.9
